S&P 500 Index | Index Constituents Analysis                                25-Oct-2020 17:25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Index Constituents Analysis,,,,,,,,,,,,,,,
"Report: Summary ,Currency: USD",,,,,,,,,,,,,,,
1 - 505 of 505,,,,,,,,,,,,,,,
Name,RIC,ACT_FLAG1,Last,PE,Est. PE,EPS,Ccy,DPS,Ccy,Div. Yld (%),ROE (%),P/Book,P/Sales,Weight %,Mcap
Prologis Inc,PLD.N,,103.24 c,41.39,56.11,2.49,USD,2.32,USD,2.25,7.09,3.37,22.90,--,"76,270,408,320.00"
Gilead Sciences Inc,GILD.OQ,,60.79 c,14.41,8.83,4.22,USD,2.72,USD,4.47,24.53,3.38,3.39,--,"76,213,904,452.30"
Charles Schwab Corp,SCHW.N,,40.35 c,15.11,17.85,2.67,USD,0.72,USD,1.78,17.47,3.48,6.42,--,"75,650,465,343.30"
Deere & Co,DE.N,,239.53 c,24.10,31.73,9.94,USD,3.04,USD,1.27,28.06,6.58,1.91,--,"75,062,657,939.51"
Booking Holdings Inc,BKNG.OQ,,1823.55 c,16.37,105.59,111.43,USD,--,--,--,65.88,12.59,4.96,--,"74,671,876,060.05"
FedEx Corp,FDX.N,,283.56 c,57.86,17.98,4.90,USD,2.60,USD,0.92,7.13,4.07,1.08,--,"74,460,586,952.88"
Altria Group Inc,MO.N,,39.08 c,--,9.05,-0.65,USD,3.44,USD,8.80,-11.51,11.67,2.89,--,"72,626,162,654.16"
Goldman Sachs Group Inc,GS.N,,205.04 c,9.75,10.70,21.03,USD,5.00,USD,2.44,9.38,0.78,1.28,--,"70,549,379,127.04"
Becton Dickinson and Co,BDX.N,,240.28 c,63.98,24.23,3.76,USD,3.16,USD,1.32,5.62,3.30,4.03,--,"69,649,615,434.28"
Equinix Inc,EQIX.OQ,,777.03 c,129.66,122.85,5.99,USD,10.64,USD,1.37,6.32,7.78,12.37,--,"68,811,537,399.54"
TJX Companies Inc,TJX.N,,57.02 c,21.37,407.29,2.67,USD,0.00,USD,0.00,59.51,11.49,1.64,--,"68,370,465,803.66"
Duke Energy Corp,DUK.N,,92.78 c,18.21,18.26,5.09,USD,3.86,USD,4.16,8.29,1.46,2.72,--,"68,233,393,670.86"
Dominion Energy Inc,D.N,,81.14 c,48.94,23.12,1.66,USD,3.76,USD,4.63,5.21,2.13,4.11,--,"68,190,914,217.78"
Colgate-Palmolive Co,CL.N,,79.34 c,28.86,26.85,2.75,USD,1.76,USD,2.22,"31,560.00",581.42,4.33,--,"68,026,130,915.92"
Fiserv Inc,FISV.OQ,,101.18 c,59.21,23.00,1.71,USD,--,--,--,5.06,2.05,6.65,--,"67,755,182,244.54"
Cigna Corp,CI.N,,184.49 c,13.73,9.93,13.44,USD,0.04,USD,0.02,--,1.49,0.44,--,"67,744,844,044.21"
General Electric Co,GE.N,,7.63 c,--,-127.17,-0.00,USD,0.04,USD,0.52,1.41,2.36,0.70,--,"66,787,595,070.00"
Crown Castle International Corp,CCI.N,,158.47 c,88.68,88.04,1.79,USD,5.32,USD,3.36,7.80,6.34,11.54,--,"66,504,833,440.89"
Illinois Tool Works Inc,ITW.N,,206.7 c,26.70,35.12,7.74,USD,4.56,USD,2.21,80.29,21.60,4.63,--,"65,350,943,568.30"
Air Products and Chemicals Inc,APD.N,,294 c,37.28,35.00,7.89,USD,5.36,USD,1.82,15.95,5.88,7.28,--,"64,942,946,544.00"
Southern Co,SO.N,,60.85 c,13.53,19.20,4.50,USD,2.56,USD,4.21,18.00,2.31,3.00,--,"64,265,556,015.80"
Automatic Data Processing Inc,ADP.OQ,,149.2 c,26.24,29.84,5.69,USD,3.64,USD,2.44,44.12,11.15,4.40,--,"64,133,034,390.00"
Activision Blizzard Inc,ATVI.OQ,,81.04 c,41.57,24.56,1.95,USD,0.41,USD,0.51,12.42,4.89,9.64,--,"62,552,511,580.32"
Sherwin-Williams Co,SHW.N,,683.31 c,41.43,28.75,16.49,USD,5.36,USD,0.78,39.25,15.09,3.48,--,"62,215,141,807.98"
CSX Corp,CSX.OQ,,81.29 c,19.47,22.71,4.17,USD,1.04,USD,1.28,27.29,5.25,5.21,--,"62,168,556,335.82"
Regeneron Pharmaceuticals Inc,REGN.OQ,,579.81 c,31.40,20.00,18.46,USD,--,--,--,21.32,5.56,7.84,--,"61,687,373,965.14"
